id,stay_len
1,8
2,17
3,13
4,1
5,12
6,8
7,8
9,3
13,2
14,1
15,13
17,2
18,7
19,1
20,4
21,8
22,2
23,9
24,2
25,2
26,7
27,7
29,3
30,3
31,8
33,3
34,7
35,8
36,3
37,8
38,10
39,3
43,3
45,6
46,5
48,4
50,3
52,3
53,3
57,4
58,3
59,3
60,5
61,10
62,5
65,10
66,6
67,9
68,11
69,10
70,17
71,12
72,4
73,4
74,10
75,11
76,3
77,19
78,4
79,5
80,12
81,34
82,3
83,7
84,5
86,7
90,14
91,10
92,9
93,68
94,8
95,60
97,32
98,6
100,2
102,8
103,4
105,3
106,5
107,24
108,6
109,5
110,12
112,12
113,8
114,12
117,6
119,9
120,6
121,3
122,6
123,4
124,3
125,3
126,9
127,4
128,12
129,2
130,4
131,11
132,4
133,55
134,41
137,2
138,14
139,5
140,41
141,14
142,17
143,11
144,7
146,69
147,6
148,60
149,1
150,27
151,48
153,6
154,3
155,12
157,3
158,13
159,11
160,5
161,8
162,5
164,13
167,11
168,27
169,10
170,8
171,10
172,1
173,7
174,6
175,19
176,10
179,5
